device_id,date,interval_compleness,num_intervals_num_minutes,num_invervals_expected,timestamp_start,timestamp_end,missing_invervals
DDD3710142042,2026-06-20,0.0,1440,288,1781877300,1781964000,288
DDD3710142042,2026-06-21,0.0,1440,288,1781963700,1782050400,288
DDD3710142042,2026-06-22,0.0,1440,288,1782050100,1782136800,288
DDD3710142042,2026-06-23,0.0,1440,288,1782136500,1782223200,288
DDD3710142042,2026-06-24,0.0,1440,288,1782222900,1782309600,288
DDD3710142042,2026-06-25,0.0,1440,288,1782309300,1782396000,288
DDD3710142042,2026-06-26,0.0,1440,288,1782395700,1782482400,288
DDD3710142042,2026-06-27,0.0,1440,288,1782482100,1782568800,288
DDD3710142042,2026-06-28,0.0,1440,288,1782568500,1782655200,288
DDD3710142042,2026-06-29,0.0,1440,288,1782654900,1782741600,288
DDD3710142042,2026-06-30,0.0,1440,288,1782741300,1782828000,288
